node,edge
AEBP2,ASCL2
AEBP2,CAMTA1
AEBP2,CREB5
AEBP2,E2F3
AEBP2,FOS
AEBP2,FOXD4L5
AEBP2,GLIS2
AEBP2,GLIS3
AEBP2,ID1
AEBP2,IRX2
AEBP2,KLF16
AEBP2,MAFF
AEBP2,MLX
AEBP2,MNT
AEBP2,NFIB
AEBP2,NFIX
AEBP2,NKX2-2
AEBP2,OLIG1
AEBP2,OLIG2
AEBP2,PAX3
AEBP2,POU3F2
AEBP2,POU3F3
AEBP2,RARA
AEBP2,RELA
AEBP2,RUNX1
AEBP2,RUNX3
AEBP2,SALL1
AEBP2,SOX1
AEBP2,SOX10
AEBP2,SOX9
AEBP2,SRF
AEBP2,TFAP4
AEBP2,YY1
AEBP2,ZBTB7B
AEBP2,ZFP41
AEBP2,ZNF157
AEBP2,ZNF195
AEBP2,ZNF213
AEBP2,ZNF334
AEBP2,ZNF497
AEBP2,ZNF541
AEBP2,ZNF568
AEBP2,ZNF574
AEBP2,ZNF672
AEBP2,ZNF689
AEBP2,ZNF692
AEBP2,ZNF696
AHR,BARHL2
AHR,FOS
AHR,FOSL1
AHR,FOXJ2
AHR,FOXK1
AHR,FOXR1
AHR,GLIS2
AHR,KLF4
AHR,NFIB
AHR,NFIX
AHR,NKX2-2
AHR,PAX3
AHR,PKNOX2
AHR,RELA
AHR,RUNX1
AHR,SALL1
AHR,SOX1
AHR,SOX10
AHR,SOX13
AHR,SRF
AHR,TCF4
AHR,TFAP4
AHR,ZNF132
AHR,ZNF497
AHR,ZNF584
AHR,ZNF689
AHR,ZNF785
ASCL2,ASCL2
ASCL2,ATF6
ASCL2,BCL6
ASCL2,BHLHE40
ASCL2,BHLHE41
ASCL2,CAMTA1
ASCL2,CREB3L2
ASCL2,CREB5
ASCL2,E2F1
ASCL2,E2F2
ASCL2,E2F3
ASCL2,E2F6
ASCL2,EGR1
ASCL2,EGR3
ASCL2,ELF2
ASCL2,ERF
ASCL2,ETS1
ASCL2,ETV6
ASCL2,FIZ1
ASCL2,FOS
ASCL2,FOSL1
ASCL2,FOXH1
ASCL2,FOXJ1
ASCL2,FOXK1
ASCL2,GATA1
ASCL2,GLIS2
ASCL2,GLIS3
ASCL2,GZF1
ASCL2,HEY1
ASCL2,HIC2
ASCL2,ID1
ASCL2,IRX2
ASCL2,JUNB
ASCL2,JUND
ASCL2,KLF12
ASCL2,KLF13
ASCL2,KLF16
ASCL2,KLF4
ASCL2,KLF5
ASCL2,MAFF
ASCL2,MEF2D
ASCL2,MEIS1
ASCL2,MLX
ASCL2,MYC
ASCL2,NFATC1
ASCL2,NFIA
ASCL2,NFIB
ASCL2,NFIX
ASCL2,NFKB2
ASCL2,NHLH1
ASCL2,NKX2-2
ASCL2,NR2F1
ASCL2,NR2F2
ASCL2,NR2F6
ASCL2,NR4A2
ASCL2,NRL
ASCL2,OLIG1
ASCL2,OLIG2
ASCL2,OSR1
ASCL2,PAX3
ASCL2,PKNOX2
ASCL2,POU3F2
ASCL2,POU3F3
ASCL2,PROX1
ASCL2,RARA
ASCL2,RELA
ASCL2,RFX2
ASCL2,RUNX1
ASCL2,RUNX3
ASCL2,SALL1
ASCL2,SALL2
ASCL2,SATB1
ASCL2,SOX1
ASCL2,SOX10
ASCL2,SOX11
ASCL2,SOX13
ASCL2,SOX21
ASCL2,SOX6
ASCL2,SOX8
ASCL2,SOX9
ASCL2,SP1
ASCL2,SREBF1
ASCL2,SRF
ASCL2,TBX21
ASCL2,TCF4
ASCL2,TCF7L2
ASCL2,TEF
ASCL2,TFAP4
ASCL2,TFE3
ASCL2,VSX1
ASCL2,YY1
ASCL2,ZBTB38
ASCL2,ZBTB7A
ASCL2,ZBTB7B
ASCL2,ZFP41
ASCL2,ZFP64
ASCL2,ZIC1
ASCL2,ZIC4
ASCL2,ZNF136
ASCL2,ZNF19
ASCL2,ZNF195
ASCL2,ZNF213
ASCL2,ZNF23
ASCL2,ZNF251
ASCL2,ZNF254
ASCL2,ZNF266
ASCL2,ZNF276
ASCL2,ZNF334
ASCL2,ZNF366
ASCL2,ZNF383
ASCL2,ZNF397
ASCL2,ZNF41
ASCL2,ZNF516
ASCL2,ZNF521
ASCL2,ZNF524
ASCL2,ZNF526
ASCL2,ZNF541
ASCL2,ZNF558
ASCL2,ZNF574
ASCL2,ZNF579
ASCL2,ZNF580
ASCL2,ZNF581
ASCL2,ZNF625
ASCL2,ZNF627
ASCL2,ZNF629
ASCL2,ZNF648
ASCL2,ZNF669
ASCL2,ZNF670
ASCL2,ZNF672
ASCL2,ZNF678
ASCL2,ZNF689
ASCL2,ZNF692
ASCL2,ZNF696
ASCL2,ZNF709
ASCL2,ZNF771
ATF3,ASCL2
ATF3,ATF3
ATF3,BCL6
ATF3,CREB5
ATF3,EGR1
ATF3,EGR3
ATF3,ERF
ATF3,FOXB1
ATF3,ID1
ATF3,JUND
ATF3,KLF13
ATF3,MAFK
ATF3,MNT
ATF3,NFIX
ATF3,NKX2-2
ATF3,PKNOX2
ATF3,RARA
ATF3,SOX9
ATF3,SPIB
ATF3,SRF
ATF3,TBX21
ATF3,TCF4
ATF3,TEF
ATF3,ZBTB38
ATF3,ZFP3
ATF3,ZFP41
ATF3,ZIC1
ATF3,ZIC4
ATF3,ZNF213
ATF3,ZNF232
ATF3,ZNF366
ATF3,ZNF526
ATF3,ZNF696
ATF3,ZNF771
ATF6,EGR1
ATF6,ERF
ATF6,MNT
ATF6,NKX2-2
ATF6,ZIC1
ATF6,ZIC4
ATF6,ZNF526
BACH2,ESRRA
BACH2,FOXB1
BACH2,ID1
BACH2,JUND
BACH2,MYC
BACH2,NFIC
BACH2,NFIX
BACH2,NKX2-2
BACH2,POU3F3
BACH2,RARA
BACH2,RFX2
BACH2,RUNX1
BACH2,SOX6
BACH2,SRF
BACH2,TCF4
BACH2,ZBTB7B
BACH2,ZNF366
BACH2,ZNF541
BARHL2,AEBP2
BARHL2,ATF3
BARHL2,ATF6
BARHL2,BACH2
BARHL2,BCL6
BARHL2,BHLHE40
BARHL2,BHLHE41
BARHL2,CREB3L2
BARHL2,CREB5
BARHL2,E2F2
BARHL2,E2F3
BARHL2,E2F6
BARHL2,EGR3
BARHL2,EHF
BARHL2,ETS1
BARHL2,ETV1
BARHL2,ETV6
BARHL2,FIZ1
BARHL2,FOS
BARHL2,FOXB1
BARHL2,FOXJ2
BARHL2,FOXK1
BARHL2,FOXN4
BARHL2,GATA1
BARHL2,GLIS2
BARHL2,GLIS3
BARHL2,HES7
BARHL2,HEY1
BARHL2,HEY2
BARHL2,ID1
BARHL2,IRF2
BARHL2,IRX2
BARHL2,IRX5
BARHL2,JUNB
BARHL2,JUND
BARHL2,KLF12
BARHL2,KLF13
BARHL2,KLF3
BARHL2,KLF4
BARHL2,KLF5
BARHL2,KLF7
BARHL2,MEF2D
BARHL2,MEIS1
BARHL2,MEOX2
BARHL2,MLX
BARHL2,MXI1
BARHL2,MYC
BARHL2,NFATC1
BARHL2,NFIA
BARHL2,NFIB
BARHL2,NFIC
BARHL2,NFIX
BARHL2,NKX2-2
BARHL2,NR2F1
BARHL2,NR2F2
BARHL2,NR4A2
BARHL2,OLIG1
BARHL2,OLIG2
BARHL2,PAX3
BARHL2,PAX6
BARHL2,PBX1
BARHL2,PKNOX2
BARHL2,POU2F2
BARHL2,POU3F2
BARHL2,POU3F3
BARHL2,PROX1
BARHL2,RARA
BARHL2,RFX2
BARHL2,RFX4
BARHL2,RUNX1
BARHL2,SALL1
BARHL2,SALL2
BARHL2,SATB1
BARHL2,SOX1
BARHL2,SOX2
BARHL2,SOX21
BARHL2,SOX4
BARHL2,SOX6
BARHL2,SOX9
BARHL2,SP1
BARHL2,SRF
BARHL2,TCF4
BARHL2,TCF7L2
BARHL2,TEAD3
BARHL2,TFAP4
BARHL2,VSX1
BARHL2,ZBED1
BARHL2,ZBTB7A
BARHL2,ZFP41
BARHL2,ZFP64
BARHL2,ZIC1
BARHL2,ZIC4
BARHL2,ZNF135
BARHL2,ZNF287
BARHL2,ZNF334
BARHL2,ZNF35
BARHL2,ZNF366
BARHL2,ZNF383
BARHL2,ZNF397
BARHL2,ZNF43
BARHL2,ZNF445
BARHL2,ZNF497
BARHL2,ZNF501
BARHL2,ZNF502
BARHL2,ZNF516
BARHL2,ZNF524
BARHL2,ZNF526
BARHL2,ZNF558
BARHL2,ZNF579
BARHL2,ZNF580
BARHL2,ZNF581
BARHL2,ZNF585A
BARHL2,ZNF606
BARHL2,ZNF613
BARHL2,ZNF624
BARHL2,ZNF649
BARHL2,ZNF672
BARHL2,ZNF689
BARHL2,ZNF692
BARHL2,ZNF696
BARHL2,ZNF713
BARHL2,ZNF771
BARHL2,ZNF785
BARHL2,ZNF84
BARHL2,ZSCAN1
BATF3,ATF3
BATF3,BACH2
BATF3,BCL6
BATF3,CREB3L2
BATF3,CREB5
BATF3,E2F2
BATF3,EGR1
BATF3,EGR3
BATF3,EHF
BATF3,ERF
BATF3,ETS1
BATF3,ETV1
BATF3,FIZ1
BATF3,FOS
BATF3,FOXB1
BATF3,FOXK1
BATF3,GFI1
BATF3,HES7
BATF3,HEY1
BATF3,ID1
BATF3,JUND
BATF3,KLF12
BATF3,KLF13
BATF3,KLF4
BATF3,KLF5
BATF3,MXI1
BATF3,MYC
BATF3,NFATC1
BATF3,NFIA
BATF3,NFIX
BATF3,NKX2-2
BATF3,NR2F2
BATF3,OLIG1
BATF3,OLIG2
BATF3,PAX3
BATF3,PBX1
BATF3,POU3F2
BATF3,POU3F3
BATF3,RARA
BATF3,RFX2
BATF3,RUNX1
BATF3,SALL1
BATF3,SOX1
BATF3,SOX10
BATF3,SOX12
BATF3,SOX2
BATF3,SOX6
BATF3,SOX9
BATF3,SPIB
BATF3,SRF
BATF3,TCF4
BATF3,TCF7L2
BATF3,TEAD1
BATF3,ZBTB38
BATF3,ZFP41
BATF3,ZIC1
BATF3,ZIC4
BATF3,ZNF135
BATF3,ZNF184
BATF3,ZNF266
BATF3,ZNF334
BATF3,ZNF366
BATF3,ZNF383
BATF3,ZNF516
BATF3,ZNF524
BATF3,ZNF526
BATF3,ZNF579
BATF3,ZNF580
BATF3,ZNF581
BATF3,ZNF606
BATF3,ZNF689
BATF3,ZNF696
BATF3,ZNF713
BATF3,ZSCAN1
BBX,AEBP2
BBX,BACH2
BBX,BCL6
BBX,BHLHE40
BBX,CREB3L2
BBX,CREB5
BBX,E2F1
BBX,E2F2
BBX,E2F6
BBX,ETV1
BBX,ETV6
BBX,FOS
BBX,FOSL2
BBX,FOXB1
BBX,FOXJ2
BBX,FOXK1
BBX,FOXO3
BBX,GLIS3
BBX,HEY1
BBX,HEY2
BBX,IRF2
BBX,JUNB
BBX,KLF13
BBX,KLF3
BBX,KLF4
BBX,KLF5
BBX,MEF2D
BBX,MEIS1
BBX,MEOX2
BBX,MXI1
BBX,MYC
BBX,NFATC1
BBX,NFIA
BBX,NFIB
BBX,NFIX
BBX,NKX2-2
BBX,NR2F1
BBX,NR2F2
BBX,OLIG1
BBX,OLIG2
BBX,OSR1
BBX,PAX3
BBX,PBX1
BBX,POU3F2
BBX,POU3F3
BBX,PROX1
BBX,RFX2
BBX,RUNX1
BBX,SALL1
BBX,SATB1
BBX,SOX1
BBX,SOX2
BBX,SOX21
BBX,SOX4
BBX,SOX6
BBX,SOX9
BBX,SP1
BBX,SREBF1
