Tf	In_Degree	Out_Degree	Total_Connections
AIRE	59	175	234
ARID3A	67	204	271
ATF3	186	85	271
ATF4	253	133	386
ATF6	163	45	208
ATF7	109	62	171
BACH2	110	82	192
BBX	188	154	342
BCL6	248	256	504
BHLHE40	279	99	378
BHLHE41	248	60	308
CAMTA1	277	0	277
CEBPD	211	64	275
CEBPG	30	50	80
CREB1	98	90	188
CREB3	149	91	240
CREB3L1	179	90	269
CREB3L2	54	90	144
CREB5	207	73	280
DBP	266	188	454
DEAF1	160	148	308
E2F1	82	139	221
E2F2	256	128	384
E2F3	141	220	361
E2F6	79	192	271
E2F7	135	91	226
E4F1	125	145	270
EGR1	167	236	403
EGR3	28	132	160
ELF2	202	102	304
ELK3	96	89	185
ELK4	264	147	411
ERF	274	118	392
ESRRA	248	227	475
ESRRG	182	187	369
ETV3	74	116	190
ETV6	163	179	342
FIZ1	249	197	446
FOS	298	141	439
FOSL2	239	94	333
FOXC1	209	239	448
FOXH1	119	144	263
FOXJ1	150	201	351
FOXJ2	163	232	395
FOXK1	260	233	493
FOXO3	147	227	374
FOXP1	266	235	501
GLI2	259	172	431
GLI3	37	173	210
GLIS1	215	69	284
GLIS2	247	222	469
GLIS3	182	98	280
GZF1	204	42	246
HEY1	221	69	290
HEY2	160	69	229
HIC1	52	206	258
HIC2	68	176	244
HKR1	120	219	339
HMX1	232	153	385
HOXB2	100	163	263
HOXD3	198	137	335
HOXD8	198	185	383
HSF1	24	216	240
ID1	246	184	430
IRF1	171	228	399
IRF2	186	145	331
IRF3	278	227	505
IRX2	226	159	385
IRX3	126	148	274
IRX5	77	156	233
JUN	138	159	297
JUNB	283	103	386
JUND	270	231	501
KLF12	196	135	331
KLF13	294	83	377
KLF15	165	179	344
KLF16	287	178	465
KLF3	161	141	302
KLF4	152	196	348
KLF7	172	221	393
MAF	221	203	424
MAFF	252	226	478
MAFG	69	137	206
MAFK	123	235	358
MAX	226	218	444
MECOM	131	132	263
MEF2B	86	184	270
MEF2C	192	193	385
MEF2D	262	166	428
MEIS1	195	170	365
MEIS2	274	163	437
MGA	152	155	307
MLX	279	58	337
MNT	263	82	345
MSX1	25	167	192
MXI1	34	103	137
MYBL2	91	102	193
MYC	111	116	227
MYCN	81	101	182
NFATC1	222	187	409
NFATC2	118	181	299
NFIA	274	96	370
NFIB	222	101	323
NFIC	289	0	289
NFIL3	116	134	250
NFIX	302	106	408
NFKB1	157	241	398
NFKB2	120	148	268
NKX2-2	266	146	412
NKX6-2	260	182	442
NR1D1	293	177	470
NR2F1	233	209	442
NR2F2	267	193	460
NR2F6	92	125	217
NR4A2	191	176	367
OLIG1	57	53	110
OLIG2	144	56	200
OSR1	277	119	396
PBX1	211	165	376
PBX3	126	224	350
POU2F2	181	267	448
POU3F2	228	213	441
POU3F3	292	220	512
POU6F2	130	145	275
PPARA	259	78	337
PRDM15	70	189	259
PRDM16	300	132	432
PROX1	142	64	206
PRRX1	268	150	418
RARA	26	222	248
RARG	67	177	244
RELA	179	244	423
RFX1	136	193	329
RFX2	261	159	420
RFX4	191	168	359
RFX5	88	204	292
RREB1	177	224	401
RXRA	296	214	510
RXRB	218	151	369
SALL2	210	160	370
SATB1	154	161	315
SIX4	81	92	173
SMAD2	87	0	87
SMAD3	25	211	236
SMAD4	51	143	194
SOX1	256	223	479
SOX10	300	211	511
SOX11	175	232	407
SOX12	144	214	358
SOX13	286	203	489
SOX18	69	219	288
SOX2	277	233	510
SOX21	215	223	438
SOX4	248	232	480
SOX8	292	231	523
SOX9	191	242	433
SP1	209	288	497
SP2	196	267	463
SP3	254	213	467
SPI1	133	247	380
SREBF1	270	136	406
SRF	76	273	349
STAT1	172	263	435
STAT5A	186	230	416
STAT5B	186	114	300
STAT6	293	224	517
TCF12	174	150	324
TCF4	255	110	365
TCF7L1	72	136	208
TCF7L2	240	191	431
TEAD1	71	187	258
TEAD3	76	145	221
TEF	210	209	419
TFAP4	259	94	353
TFE3	95	75	170
TFEB	296	79	375
TGIF1	256	133	389
THRA	293	73	366
THRB	77	141	218
TP53	144	71	215
YY1	242	275	517
ZBED1	61	25	86
ZBTB20	269	104	373
ZBTB38	254	144	398
ZBTB40	37	133	170
ZBTB46	216	125	341
ZBTB7A	209	65	274
ZBTB7B	249	158	407
ZBTB7C	72	165	237
ZEB1	186	145	331
ZFHX2	78	97	175
ZFP1	261	219	480
ZFP3	117	245	362
ZFP41	251	117	368
ZFPM1	248	98	346
ZKSCAN1	214	145	359
ZNF114	109	75	184
ZNF131	101	157	258
ZNF132	136	239	375
ZNF134	71	180	251
ZNF135	198	213	411
ZNF136	82	176	258
ZNF184	177	217	394
ZNF19	154	200	354
ZNF195	117	230	347
ZNF2	129	155	284
ZNF211	71	168	239
ZNF213	183	102	285
ZNF219	147	183	330
ZNF22	289	161	450
ZNF226	89	220	309
ZNF227	89	258	347
ZNF23	154	235	389
ZNF232	117	117	234
ZNF236	168	255	423
ZNF251	75	170	245
ZNF254	109	216	325
ZNF264	62	149	211
ZNF273	44	184	228
ZNF276	91	221	312
ZNF287	153	195	348
ZNF311	254	137	391
ZNF319	37	146	183
ZNF324	59	169	228
ZNF329	104	164	268
ZNF334	141	139	280
ZNF341	82	176	258
ZNF343	118	184	302
ZNF35	67	221	288
ZNF358	59	155	214
ZNF366	80	152	232
ZNF383	145	214	359
ZNF396	84	86	170
ZNF397	76	84	160
ZNF408	53	164	217
ZNF41	209	222	431
ZNF43	48	234	282
ZNF433	161	174	335
ZNF439	109	171	280
ZNF440	109	146	255
ZNF445	151	196	347
ZNF497	157	161	318
ZNF501	67	153	220
ZNF502	67	224	291
ZNF514	129	96	225
ZNF516	245	114	359
ZNF519	32	209	241
ZNF521	226	215	441
ZNF524	249	178	427
ZNF526	285	186	471
ZNF536	229	189	418
ZNF551	71	136	207
ZNF552	50	179	229
ZNF554	69	97	166
ZNF557	155	187	342
ZNF558	138	149	287
ZNF559	109	140	249
ZNF568	113	214	327
ZNF57	72	197	269
ZNF573	75	202	277
ZNF574	166	206	372
ZNF579	236	196	432
ZNF580	175	165	340
ZNF581	175	185	360
ZNF584	136	106	242
ZNF585A	145	209	354
ZNF586	50	180	230
ZNF587	50	179	229
ZNF606	108	117	225
ZNF619	180	141	321
ZNF621	160	30	190
ZNF624	111	172	283
ZNF625	82	121	203
ZNF627	57	153	210
ZNF629	203	188	391
ZNF662	123	108	231
ZNF669	107	206	313
ZNF670	107	187	294
ZNF672	198	221	419
ZNF678	71	229	300
ZNF682	50	198	248
ZNF687	110	63	173
ZNF689	219	170	389
ZNF69	109	156	265
ZNF692	198	133	331
ZNF696	236	169	405
ZNF697	141	197	338
ZNF699	109	241	350
ZNF70	68	185	253
ZNF701	137	215	352
ZNF709	153	213	366
ZNF710	286	162	448
ZNF713	171	189	360
ZNF740	67	160	227
ZNF771	239	114	353
ZNF785	148	96	244
ZNF823	53	240	293
ZNF83	137	224	361
ZNF84	116	182	298
ZNF90	50	171	221
ZNF91	141	258	399
ZSCAN1	198	96	294
ZSCAN16	197	101	298
ZSCAN18	194	66	260
ZSCAN2	109	219	328
