TF,Out,In,Total,node,type,TF_CliqueFraction
AEBP2,142,236,378,AEBP2,TF,0.00686248830682881
ATF3,73,102,175,ATF3,TF,9.72871842843779e-05
BACH2,55,264,319,BACH2,TF,0.000404115996258185
BCL6,294,260,554,BCL6,TF,0.504366697848456
BCL6B,269,236,505,BCL6B,TF,0.148789522918616
BCLAF1,297,276,573,BCLAF1,TF,0.215251637043966
BHLHE41,36,282,318,BHLHE41,TF,0.000127221702525725
CEBPB,114,219,333,CEBPB,TF,0.0130589335827877
CREB5,35,340,375,CREB5,TF,0.000246959775491113
DBP,152,302,454,DBP,TF,0.0715060804490178
DEAF1,108,317,425,DEAF1,TF,0.00751356407857811
E2F3,255,117,372,E2F3,TF,0.0134555659494855
E2F6,237,93,330,E2F6,TF,0.00202057998129093
EGR1,312,129,441,EGR1,TF,0.00599438727782975
EGR3,146,196,342,EGR3,TF,0.00350233863423761
EHF,244,347,591,EHF,TF,0.375393826005613
ELK1,105,36,141,ELK1,TF,2.99345182413471e-05
ESRRA,257,210,467,ESRRA,TF,0.11399812909261
ESRRG,200,215,415,ESRRG,TF,0.0636258185219832
ETV6,163,318,481,ETV6,TF,0.127685687558466
FIZ1,228,241,469,FIZ1,TF,0.0883517305893358
FOS,118,353,471,FOS,TF,0.040089803554724
FOSL1,73,297,370,FOSL1,TF,0.0039289055191768
FOXC1,266,266,532,FOXC1,TF,0.198795135640786
FOXJ2,254,98,352,FOXJ2,TF,0.00782039289055192
FOXK1,241,262,503,FOXK1,TF,0.220490177736202
FOXN2,137,238,375,FOXN2,TF,0.0462488306828812
FOXO1,282,95,377,FOXO1,TF,0.00133956969130028
FOXO3,259,309,568,FOXO3,TF,0.739831618334892
FOXP1,263,302,565,FOXP1,TF,0.525073900841908
GLI2,199,364,563,GLI2,TF,0.294735266604303
GLIS2,248,178,426,GLIS2,TF,0.0129167446211413
GLIS3,80,360,440,GLIS3,TF,0.00601683816651076
HBP1,175,150,325,HBP1,TF,0.009444340505145
HIC2,175,199,374,HIC2,TF,0.0351730589335828
HKR1,246,155,401,HKR1,TF,0.0285874649204864
HOXA2,102,357,459,HOXA2,TF,0.0646286248830683
HOXA3,140,357,497,HOXA3,TF,0.132318054256314
HOXA4,162,357,519,HOXA4,TF,0.388782039289055
HOXA5,127,357,484,HOXA5,TF,0.13621702525725
HOXB2,127,357,484,HOXB2,TF,0.164565014031805
HOXB3,151,357,508,HOXB3,TF,0.262533208606174
HOXB4,85,357,442,HOXB4,TF,0.0250776426566885
HOXD3,113,299,412,HOXD3,TF,0.0521384471468662
HSF2,142,321,463,HSF2,TF,0.0515846585594013
ID1,170,231,401,ID1,TF,0.0287146866230122
IRF2,123,261,384,IRF2,TF,0.0193975678203929
IRF7,187,215,402,IRF7,TF,0.0249878391019645
IRF8,108,338,446,IRF8,TF,0.0317380729653882
JDP2,148,309,457,JDP2,TF,0.0905519176800748
JUN,155,158,313,JUN,TF,0.00430308699719364
JUNB,95,175,270,JUNB,TF,0.000838166510757717
JUND,237,164,401,JUND,TF,0.020355472404116
KLF13,76,359,435,KLF13,TF,0.00479700654817587
KLF15,223,282,505,KLF15,TF,0.177197380729654
KLF16,229,92,321,KLF16,TF,0.00141440598690365
KLF4,247,215,462,KLF4,TF,0.0651150608044902
KLF7,284,288,572,KLF7,TF,0.345474275023386
LMX1A,125,231,356,LMX1A,TF,0.0223311506080449
MAF,229,291,520,MAF,TF,0.448583723105706
MAFF,248,337,585,MAFF,TF,0.717305893358279
MAFK,251,77,328,MAFK,TF,0.00118989710009355
MAX,275,221,496,MAX,TF,0.108392890551918
MECOM,95,349,444,MECOM,TF,0.0178559401309635
MEF2A,232,237,469,MEF2A,TF,0.134929840972872
MEF2B,172,168,340,MEF2B,TF,0.0114724041159963
MEF2D,149,178,327,MEF2D,TF,0.0147427502338634
MEIS1,186,308,494,MEIS1,TF,0.252924228250702
MEIS2,178,249,427,MEIS2,TF,0.074866230121609
MSX1,155,333,488,MSX1,TF,0.237672591206735
MSX2,150,295,445,MSX2,TF,0.10333395696913
NFATC1,178,218,396,NFATC1,TF,0.0127221702525725
NFATC2,104,245,349,NFATC2,TF,0.00308325537885875
NFIA,88,375,463,NFIA,TF,0.00916744621141253
NFIB,91,347,438,NFIB,TF,0.0113676333021515
NFIL3,82,195,277,NFIL3,TF,0.000538821328344247
NR1D1,198,280,478,NR1D1,TF,0.14044527595884
NR2F1,231,276,507,NR2F1,TF,0.319483629560337
OLIG3,33,277,310,OLIG3,TF,8.98035547240412e-05
PAX3,59,269,328,PAX3,TF,0.000875584658559401
PAX6,145,258,403,PAX6,TF,0.0607072029934518
PBX1,145,369,514,PBX1,TF,0.141201122544434
PBX3,264,278,542,PBX3,TF,0.28222263797942
PEG3,266,56,322,PEG3,TF,0.000718428437792329
POU2F1,272,45,317,POU2F1,TF,6.73526660430309e-05
POU3F2,214,324,538,POU3F2,TF,0.578604303086997
POU3F3,215,326,541,POU3F3,TF,0.585421889616464
POU3F4,188,288,476,POU3F4,TF,0.300961646398503
PPARA,66,308,374,PPARA,TF,0.00505893358278765
PRDM6,28,363,391,PRDM6,TF,0.000329279700654818
RARA,255,248,503,RARA,TF,0.20021702525725
RELA,293,99,392,RELA,TF,0.00377174929840973
RFX1,221,315,536,RFX1,TF,0.238129092609916
RFX2,165,305,470,RFX2,TF,0.0952291861552853
RFX4,169,374,543,RFX4,TF,0.10777923292797
RFX5,251,236,487,RFX5,TF,0.213612722170253
RORA,166,320,486,RORA,TF,0.144493919550982
