"['SOX12', 'STAT3', 'DBP', 'MEF2D', 'TEAD1', 'STAT4', 'SMAD3', 'PBX1', 'ETS1', 'STAT1', 'FOXN2', 'RXRA']",40.083333333333336
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'TCF7L2', 'ZBTB7B', 'TEAD1', 'NR1D1', 'STAT4']",40.0
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'RXRA', 'ZBTB7B', 'NR1D1', 'GLI2', 'KLF5']",40.0
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'RXRA', 'ZBTB7B', 'NR1D1', 'GLI2', 'TEAD1']",39.9
"['SOX12', 'STAT3', 'DBP', 'MEF2D', 'TEAD1', 'STAT4', 'SMAD3', 'PBX1', 'ETS1', 'STAT1', 'FOXN2', 'TCF7L2']",39.833333333333336
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'TCF7L2', 'NR1D1', 'NFIB', 'STAT4', 'TEAD1']",39.8
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'RXRA', 'NR1D1', 'NFIB', 'GLI2', 'KLF5']",39.8
"['SOX12', 'STAT3', 'ZBTB38', 'STAT4', 'ETS1', 'SMAD3', 'STAT1', 'PBX1', 'EHF', 'FOXN2', 'RXRA']",39.72727272727273
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'TCF7L2', 'ZBTB7B', 'KLF5', 'GLI2', 'NR1D1']",39.7
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'RXRA', 'NR1D1', 'NFIB', 'GLI2', 'TEAD1']",39.7
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'TCF7L2', 'ZBTB7B', 'TEAD1', 'ID1', 'STAT4']",39.6
"['SOX12', 'STAT3', 'DBP', 'EHF', 'SMAD3', 'TCF7L2', 'ZBTB7B', 'TEAD1', 'NR1D1', 'GLI2']",39.6
