node,expression,type,TF,Out,In,Total,TF_CliqueFraction
STAT3,1,TF,STAT3,45,38,83,0.8598130841121495
SOX12,2,TF,SOX12,39,41,80,0.8504672897196262
DBP,1,TF,DBP,41,35,76,0.7476635514018691
EHF,1,TF,EHF,43,34,77,0.7476635514018691
SMAD3,5,TF,SMAD3,43,35,78,0.7383177570093458
ETS1,4,TF,ETS1,44,30,74,0.5327102803738317
TCF7L2,1,EN,TCF7L2,39,35,74,0.4392523364485981
STAT4,8,TF,STAT4,42,31,73,0.4299065420560747
RXRA,3,TF,RXRA,42,37,79,0.4018691588785046
PBX1,2,TF,PBX1,34,36,70,0.4018691588785046
