V1	V2
[ZNF658, STAT3, ZNF699, SP1]	333.75
[MAFK, ZNF658, STAT3, SP1]	327.75
[ZNF658, STAT3, STAT6, ZIC3, SP1]	316.6
[MAFK, SRF, STAT1, FOXO3, FOXC1, STAT3, KLF7, YY1, SP1]	311.222222222222
[ZNF658, STAT3, STAT6, MAFF, SP1]	310.6
[YY1, SOX2, ZNF91, ESRRA, FOXO3, STAT1, SP1, STAT3, KLF7]	309.555555555556
[EGR1, ZNF682, YY1, STAT3, SOX2, ZNF91, ZNF236]	308
[EGR1, ZNF699, ESRRA, PEG3, SRF, SP1, YY1, BCLAF1]	307.625
[MAFK, SRF, STAT1, FOXO3, FOXC1, STAT3, FOXO1, SP1]	307
[MAFK, SRF, RREB1, YY1, ZNF383, STAT3, FOXC1, SP1]	306.625
[EGR1, ZNF699, KLF16, KLF7, YY1, SP1, ZNF91]	306.571428571429
[EGR1, RARA, E2F6, ZNF91, ESRRA, YY1, STAT3, KLF7, SP1]	306.555555555556
[EGR1, ZNF699, ESRRA, PEG3, SRF, SP1, YY1, KLF7]	306
[MAFK, SRF, STAT1, FOXO3, FOXC1, BCLAF1, YY1, SP1]	305.75
[ZNF658, STAT3, ZNF699, RFX5]	304.5
[YY1, SOX2, ZNF91, ESRRA, FOXO3, STAT1, SP1, BCLAF1]	303.875
[JUND, RELA, SRF, BCL6, FOXO1, STAT3]	302.833333333333
[EGR1, ZNF682, YY1, STAT3, ZNF678, ZNF236]	302.666666666667
[EGR1, ZNF699, ESRRA, NR2F1, SOX2, ZNF91, SP1, YY1, STAT3, KLF7]	302.6
[EGR1, ZNF699, KLF16, KLF7, YY1, SP1, SRF, PEG3]	302.5
[PEG3, SRF, BCL6B, ZNF699, ESRRA, YY1, SP1, BCLAF1]	302.25
[EGR1, ZNF682, YY1, STAT3, SOX2, BCL6, ZNF236]	302.142857142857
[EGR1, RARA, E2F6, SRF, BCL6, SALL2, SP1, ESRRA, YY1, STAT3, KLF7]	301.454545454545
[SOX9, SOX2, ZNF91, FOXO3, STAT1, STAT3, KLF7, SP1, ESRRA]	301.333333333333
[EGR1, RARA, ZNF678, SRF, YY1, STAT3, KLF7, SP1, E2F6, SALL2]	301.3
[YY1, E2F6, ESRRA, RELA, SRF, BCL6B, RARA, KLF7, STAT3, SP1, BCL6]	301
[YY1, E2F6, ESRRA, FOXO3, ZNF91, RARA, KLF7, STAT3, SP1]	300.666666666667
[PEG3, SRF, BCL6B, ZNF699, ESRRA, YY1, SP1, KLF7]	300.625
[FOXJ2, YY1, ZIC3, STAT1, BCL6, STAT5A, SOX2, STAT3, KLF7, SP1]	300.6
[EGR1, RARA, E2F6, ZNF91, ESRRA, YY1, BCLAF1, SP1]	300.5
[EGR1, E2F3, YY1, ZNF91, BCLAF1, SP1, ESRRA, E2F6]	300.5
[EGR1, RARA, ZNF678, SRF, YY1, STAT3, KLF7, ZNF521, ZIC3, ZNF236]	300.3
[EGR1, RARA, ZNF678, SRF, YY1, STAT3, KLF7, SP1, ZIC3, ZIC1, SALL2]	300.090909090909
[EGR1, RARA, RREB1, ZNF91, YY1, KLF16, KLF7, SP1]	299.625
[EGR1, E2F3, YY1, ZNF91, KLF7, SP1, KLF16, RREB1]	299.625
[FOXJ2, YY1, FOXC1, SP1, BCL6, STAT1, SOX2, STAT3, KLF7, STAT5A]	299.4
[KLF16, KLF7, SRF, BCL6B, ZNF699, YY1, SP1, SPI1]	299.375
[PEG3, SRF, BCL6B, RARA, RELA, BCLAF1, ESRRA, YY1, SP1]	299
[EGR1, E2F3, YY1, ZNF91, KLF7, SP1, ESRRA, E2F6]	298.875
[MAFK, SRF, ZNF526, STAT3, ZNF383, YY1, NR2F1, SP1]	298.625
[YY1, SOX2, ZNF91, FIZ1, FOXO3, STAT1, STAT3, KLF7]	298.625
[EGR1, RARA, ZNF678, SRF, YY1, STAT3, MAX, ZNF709]	298.5
