node,edge
ALX3,ZNF71
ALX3,ZNF713
ALX4,AEBP2
ALX4,ARNTL
ALX4,ATF7
ALX4,BACH2
ALX4,BCL6
ALX4,BCLAF1
ALX4,BHLHE40
ALX4,BHLHE41
ALX4,CAMTA1
ALX4,CEBPB
ALX4,CEBPD
ALX4,CREB1
ALX4,CREB5
ALX4,CUX2
ALX4,DBP
ALX4,EBF1
ALX4,EHF
ALX4,ELK3
ALX4,ELK4
ALX4,ESRRG
ALX4,ETV6
ALX4,FIZ1
ALX4,FOS
ALX4,FOXK1
ALX4,FOXN2
ALX4,FOXO1
ALX4,FOXO3
ALX4,FOXP1
ALX4,GLI2
ALX4,GLI3
ALX4,GLIS3
ALX4,HEY1
ALX4,HEY2
ALX4,HKR1
ALX4,HOXA2
ALX4,HOXA3
ALX4,HOXA4
ALX4,HOXA5
ALX4,HOXB2
ALX4,HOXB3
ALX4,HOXB4
ALX4,HOXD3
ALX4,HSF2
ALX4,IRF2
ALX4,IRF8
ALX4,JDP2
ALX4,KLF12
ALX4,KLF13
ALX4,KLF15
ALX4,KLF5
ALX4,KLF7
ALX4,LMX1A
ALX4,LMX1B
ALX4,MAF
ALX4,MAFF
ALX4,MAX
ALX4,MECOM
ALX4,MEF2B
ALX4,MEIS1
ALX4,MEIS2
ALX4,MLX
ALX4,MSX1
ALX4,MSX2
ALX4,MXI1
ALX4,MYC
ALX4,NFIA
ALX4,NFIB
ALX4,NFIC
ALX4,NR2F1
ALX4,NR2F2
ALX4,OLIG3
ALX4,PAX3
ALX4,PAX6
ALX4,PBX1
ALX4,PBX3
ALX4,POU2F1
ALX4,POU3F2
ALX4,POU3F3
ALX4,POU3F4
ALX4,PPARG
ALX4,PRDM6
ALX4,RFX1
ALX4,RFX2
ALX4,RFX4
ALX4,RORA
ALX4,RUNX1
ALX4,RXRA
ALX4,SALL2
ALX4,SMAD1
ALX4,SOX11
ALX4,SOX12
ALX4,SOX13
ALX4,SOX2
ALX4,SOX5
ALX4,SOX6
ALX4,SOX9
ALX4,SP2
ALX4,STAT3
ALX4,TCF12
ALX4,TCF4
ALX4,TCF7
ALX4,TCF7L2
ALX4,TEAD1
ALX4,TEAD3
ALX4,TP53
ALX4,ZBTB20
ALX4,ZBTB38
ALX4,ZBTB7C
ALX4,ZFP3
ALX4,ZFP62
ALX4,ZIC1
ALX4,ZIC3
ALX4,ZIC4
ALX4,ZNF143
ALX4,ZNF174
ALX4,ZNF19
ALX4,ZNF195
ALX4,ZNF22
ALX4,ZNF23
ALX4,ZNF232
ALX4,ZNF287
ALX4,ZNF311
ALX4,ZNF470
ALX4,ZNF516
ALX4,ZNF524
ALX4,ZNF536
ALX4,ZNF557
ALX4,ZNF579
ALX4,ZNF621
ALX4,ZNF71
ALX4,ZNF713
AR,AEBP2
AR,ALX4
AR,ARNTL
AR,ATF1
AR,ATF3
AR,ATF7
AR,BACH2
AR,BARX2
AR,BCL6
AR,BCL6B
AR,BCLAF1
AR,BHLHE40
AR,BHLHE41
AR,CAMTA1
AR,CEBPB
AR,CEBPD
AR,CREB1
AR,CREB5
AR,CREM
AR,CUX2
AR,DBP
AR,DEAF1
AR,E2F1
AR,E2F7
AR,E2F8
AR,EBF1
AR,EGR3
AR,EHF
AR,ELK3
AR,ERF
AR,ESRRA
AR,ESRRG
AR,ETS1
AR,ETV6
AR,FIZ1
AR,FOS
AR,FOSL1
AR,FOSL2
AR,FOXC1
AR,FOXH1
AR,FOXJ1
AR,FOXK1
AR,FOXN2
AR,FOXO3
AR,FOXP1
AR,GLI2
AR,GLI3
AR,GLIS2
AR,GLIS3
AR,GZF1
AR,HBP1
AR,HEY1
AR,HEY2
AR,HIC2
AR,HKR1
AR,HMBOX1
AR,HOXA2
AR,HOXA3
AR,HOXA4
AR,HOXA5
AR,HOXB2
AR,HOXB3
AR,HOXB4
AR,HOXD3
AR,HSF1
AR,HSF2
AR,ID1
AR,IRF2
AR,IRF7
AR,IRF8
AR,IRX3
AR,JDP2
AR,JUN
AR,JUNB
AR,KLF12
AR,KLF13
AR,KLF15
AR,KLF16
AR,KLF3
AR,KLF4
AR,KLF5
AR,KLF7
AR,LMX1A
AR,LMX1B
AR,MAF
AR,MAFF
AR,MAFG
AR,MAX
AR,MECOM
AR,MEF2A
AR,MEF2B
AR,MEF2C
AR,MEIS1
AR,MEIS2
AR,MLX
AR,MNT
AR,MSX1
AR,MSX2
AR,MXI1
AR,MYCN
AR,MZF1
AR,NFATC1
AR,NFATC2
AR,NFIA
AR,NFIB
AR,NFIC
AR,NFIL3
AR,NFIX
AR,NFYA
AR,NR1D1
AR,NR2F1
AR,NR3C2
AR,NR5A2
AR,OLIG3
AR,PAX3
AR,PAX6
AR,PBX1
AR,PBX3
AR,PEG3
AR,PKNOX1
AR,PKNOX2
AR,POU3F2
AR,POU3F3
AR,POU3F4
AR,PPARA
AR,PPARG
AR,PRDM6
AR,RARA
AR,RARB
AR,RELA
AR,RFX1
AR,RFX2
AR,RFX3
AR,RFX4
AR,RFX5
AR,RORA
AR,RREB1
AR,RUNX1
AR,RUNX2
AR,RUNX3
AR,RXRA
AR,RXRB
AR,SALL2
AR,SMAD1
AR,SMAD2
AR,SMAD3
AR,SMAD4
AR,SOX1
AR,SOX10
AR,SOX11
AR,SOX12
AR,SOX13
AR,SOX15
AR,SOX2
AR,SOX4
AR,SOX5
AR,SOX6
AR,SOX8
AR,SOX9
AR,SP1
AR,SP2
AR,SP3
AR,SPI1
AR,SREBF1
AR,SRF
AR,STAT3
AR,STAT5A
AR,STAT5B
AR,STAT6
AR,TCF12
AR,TCF4
AR,TCF7
AR,TCF7L1
AR,TCF7L2
AR,TEAD1
AR,TEF
AR,TFEB
AR,TGIF1
AR,THRA
AR,THRB
AR,TP53
AR,VDR
AR,YY1
AR,ZBTB20
AR,ZBTB38
AR,ZBTB4
AR,ZBTB46
AR,ZBTB7A
AR,ZBTB7B
AR,ZBTB7C
AR,ZFHX2
AR,ZFP1
AR,ZFP14
AR,ZFP3
AR,ZFP41
AR,ZFP62
AR,ZFPM1
AR,ZIC1
AR,ZIC2
AR,ZIC3
AR,ZIC4
AR,ZIC5
AR,ZNF114
AR,ZNF136
AR,ZNF143
AR,ZNF18
AR,ZNF184
AR,ZNF213
AR,ZNF22
AR,ZNF232
AR,ZNF236
AR,ZNF275
AR,ZNF287
AR,ZNF302
AR,ZNF311
AR,ZNF320
AR,ZNF334
AR,ZNF341
AR,ZNF383
AR,ZNF408
AR,ZNF468
AR,ZNF470
AR,ZNF497
AR,ZNF516
AR,ZNF521
AR,ZNF524
AR,ZNF526
AR,ZNF536
AR,ZNF579
AR,ZNF580
AR,ZNF581
AR,ZNF619
AR,ZNF621
AR,ZNF625
AR,ZNF629
AR,ZNF658
AR,ZNF664
AR,ZNF678
AR,ZNF682
AR,ZNF687
AR,ZNF696
AR,ZNF697
AR,ZNF71
AR,ZNF710
AR,ZNF771
AR,ZNF8
AR,ZNF90
AR,ZSCAN16
AR,ZSCAN2
ARID3A,ARNTL
ARID3A,ATF7
ARID3A,BACH2
ARID3A,BCL6
ARID3A,BCLAF1
ARID3A,BHLHE40
ARID3A,BHLHE41
ARID3A,CAMTA1
ARID3A,CEBPD
ARID3A,CREB1
ARID3A,CREB5
ARID3A,CUX2
ARID3A,E2F1
ARID3A,E2F8
ARID3A,EBF1
ARID3A,EHF
ARID3A,ESRRG
ARID3A,ETV6
ARID3A,FOS
ARID3A,FOSL2
ARID3A,FOXC1
ARID3A,FOXN2
ARID3A,FOXO3
ARID3A,FOXP1
ARID3A,GLI2
ARID3A,GLIS2
ARID3A,GLIS3
ARID3A,HBP1
ARID3A,HEY1
ARID3A,HEY2
ARID3A,HKR1
ARID3A,HOXA2
ARID3A,HOXA3
ARID3A,HOXA4
ARID3A,HOXA5
ARID3A,HOXB2
ARID3A,HOXB3
ARID3A,HOXB4
ARID3A,HOXD3
ARID3A,HSF2
ARID3A,IRF8
ARID3A,JDP2
ARID3A,JUN
ARID3A,KLF12
ARID3A,KLF13
ARID3A,KLF15
ARID3A,KLF4
ARID3A,KLF7
ARID3A,LMX1A
ARID3A,MAF
ARID3A,MAFF
ARID3A,MAX
ARID3A,MECOM
ARID3A,MEF2A
ARID3A,MEIS1
ARID3A,MEIS2
ARID3A,MLX
ARID3A,MSX1
ARID3A,MSX2
ARID3A,MXI1
ARID3A,MYC
ARID3A,NFATC1
ARID3A,NFATC2
ARID3A,NFE2L2
ARID3A,NFIA
ARID3A,NFIB
ARID3A,NFIC
ARID3A,NFIL3
ARID3A,NFIX
ARID3A,NR2F1
ARID3A,NR2F2
ARID3A,NR3C2
ARID3A,NR5A2
ARID3A,OLIG3
ARID3A,PAX3
ARID3A,PAX6
ARID3A,PBX1
ARID3A,PBX3
ARID3A,PKNOX2
ARID3A,POU3F2
ARID3A,POU3F3
ARID3A,POU3F4
ARID3A,PPARA
ARID3A,PPARG
ARID3A,PRDM6
ARID3A,RARB
ARID3A,RFX1
ARID3A,RFX2
ARID3A,RFX3
ARID3A,RFX4
ARID3A,RFX5
ARID3A,RORA
ARID3A,RREB1
ARID3A,RXRA
ARID3A,SALL2
ARID3A,SMAD1
ARID3A,SOX11
ARID3A,SOX12
ARID3A,SOX2
ARID3A,SOX4
ARID3A,SOX5
ARID3A,SOX6
ARID3A,SOX9
ARID3A,SP2
ARID3A,SP3
ARID3A,STAT6
ARID3A,TCF12
ARID3A,TCF4
ARID3A,TCF7
ARID3A,TCF7L2
ARID3A,TEAD1
ARID3A,TP53
ARID3A,VDR
ARID3A,ZBTB20
ARID3A,ZBTB34
ARID3A,ZBTB38
ARID3A,ZBTB46
ARID3A,ZBTB7C
ARID3A,ZEB1
ARID3A,ZFHX2
ARID3A,ZFP14
ARID3A,ZFP62
ARID3A,ZIC1
ARID3A,ZIC4
ARID3A,ZIC5
ARID3A,ZNF135
ARID3A,ZNF18
ARID3A,ZNF19
ARID3A,ZNF213
ARID3A,ZNF23
ARID3A,ZNF311
ARID3A,ZNF334
ARID3A,ZNF341
ARID3A,ZNF383
ARID3A,ZNF470
ARID3A,ZNF516
ARID3A,ZNF521
ARID3A,ZNF536
ARID3A,ZNF557
ARID3A,ZNF585A
ARID3A,ZNF606
ARID3A,ZNF621
ARID3A,ZNF687
ARID3A,ZNF71
ARID3A,ZNF713
ARID3A,ZNF771
ARID3A,ZSCAN1
ARNT2,ATF3
ARNT2,ATF4
ARNT2,ATF6
ARNT2,BCL6B
ARNT2,BHLHE40
ARNT2,BHLHE41
ARNT2,CAMTA1
ARNT2,CEBPD
ARNT2,DBP
ARNT2,DEAF1
