TSPAN6
DPM1
SCYL3
C1orf112
CFH
FUCA2
GCLC
NFYA
STPG1
NIPAL3
LAS1L
SEMA3F
ANKIB1
CYP51A1
KRIT1
RAD52
BAD
LAP3
CD99
HECW1
MAD1L1
LASP1
SNX11
M6PR
CYP26B1
DBNDD1
ALS2
CASP10
CFLAR
TFPI
NDUFAF7
RBM5
ARF5
SARM1
POLDIP2
PLXND1
AK2
CD38
FKBP4
KDM1A
RBM6
CAMKK1
RECQL
VPS50
ARHGAP33
NDUFAB1
PDK4
SLC25A13
ST7
CDC27
HCCS
DVL2
UPF1
SKAP2
SLC25A5
MCUB
POLR2J
DHX33
THSD7A
LIG3
RPAP3
ACSM3
REXO5
CIAPIN1
SPPL2B
FAM214B
COPZ2
PRKAR2B
MSL3
CREBBP
PON1
GCFC2
WDR54
CROT
KMT2E
RHBDD2
IBTK
ZNF195
MYCBP2
FBXL3
PDK2
ITGA3
ZFX
LAMP2
ITGA2B
GDE1
REX1BD
CRLF1
OSBPL7
TMEM98
MAP3K14
TMEM132A
AP2B1
ZNF263
SPATA20
CACNA1G
TNFRSF12A
MAP3K9
RALA
BAIAP2L1
KDM7A
ETV1
AGK
ALDH3B1
PHTF2
CCL26
FARP2
USH1C
GGCT
DBF4
IFRD1
COX10
GTF2IRD1
PAF1
VPS41
ARHGAP44
ELAC2
ARSD
PNPLA4
ADIPOR2
MARK4
CCDC124
PAFAH1B1
KIAA0100
GAS7
TRAPPC6A
ST7L
PAX6
RPUSD1
RHBDF1
LUC7L
TSR3
PIGQ
CRAMP1
TEAD3
DNAJC11
MYLIP
E2F2
PSMB1
JARID2
CDKL5
CDK11A
NADK
CYTH3
SYPL1
CYB561
SPAG9
CELSR3
SS18L2
MPND
MGST1
CRY1
NFIX
ST3GAL1
IL32
PKD1
MAPK8IP2
MED24
RHOBTB2
HEATR5B
SEC62
RPS20
CSDE1
UBE3C
REV3L
FAM76A
POMT2
VTA1
MLXIPL
BAZ1B
RANBP9
SPRTN
METTL13
DYRK4
ZNF207
UQCRC1
STARD3NL
CD9
NCAPD2
IFFO1
GIPR
PHF7
NISCH
FUZ
IDS
PRSS3
ZNF200
LRRC23
HFE
SCMH1
FYN
HIVEP2
ELOA
LYPLA2
CLCN6
MRC2
NME1-NME2
TSPAN9
BTBD7
APBA3
MKS1
ABHD5
AKAP8L
MBTD1
UTP18
RNF216
TTC19
PTBP1
DPF1
LARS2
PIK3C2A
PLAUR
ANLN
WIZ
RABGAP1
QPCTL
PPP5C
CEP68
MAP4K3
TMEM159
BRCA1
ERCC1
SEMA3B
MBTPS2
PRICKLE3
EXTL3
ELOVL5
KDM5D
CALCOCO1
UBR7
MAP4K5
EHD3
PSMC4
MAN2B2
SLC25A39
MVP
NUB1
PGM3
RWDD2A
CLK1
POLR3B
ANGEL1
RNF14
DNASE1L1
DDX11
HEBP1
GPRC5A
MAMLD1
TACC3
UFL1
POLA2
ZC3H3
CAPN1
MDH1
SLC30A9
MTMR11
COX15
CCDC88C
YAF2
ZMYND11
BID
MATR3
XYLT2
RGPD5
NUDCD3
CHDH
GLT8D1
ATP2C1
RALBP1
RUFY3
CNTN1
WWTR1
AGPS
CXorf56
TTC27
ZNF582
PHLDB1
CYP24A1
PRDM11
SYT13
SNAI2
ZRANB1
NCDN
ADGRA2
ZFP64
MNAT1
SAMD4A
RUNX3
MRE11
SERPINB1
SPAST
NRXN3
OSBPL5
AQR
CPS1
FHL1
RTF2
NLRP2
SLC45A4
RNF10
ZNF839
ZDHHC6
GRAMD1B
RNH1
NDUFS1
RB1CC1
ERP44
ALAS1
BIRC3
AKAP11
GLRX2
SNAPC1
DERA
STRAP
ABCC2
PLEKHO1
GCLM
UBR2
EHD2
DEPDC1
CCDC28A
HSF2
PHF20
HSD17B6
NR1H3
TYMP
NCAPH2
TOMM34
SEC63
KPNA6
VIM
RTEL1-TNFRSF6B
FAS
RNASET2
CD44
KCNG1
AGPAT4
SLAMF7
BTN3A1
MIPEP
PRKCH
IFNGR1
B4GALT7
SH2D2A
VRK2
VEZT
BRD9
SNX1
TBPL1
ARNTL2
BCLAF1
SLC39A9
ANK1
TFB1M
RABEP1
HMGB3
NUP160
BAK1
GRN
FAM13B
CENPQ
SARS
RANBP3
ARID4A
EIPR1
PNPLA6
IFT88
ALG1
ZCCHC8
ABCF2
CHPF2
FUT8
UBA6
GAB2
ATP6V0A1
PIAS1
SLC4A7
APBA2
MAP2K3
TMSB10
ASTE1
RNF19A
PEX3
GABARAPL2
SH3YL1
FAM136A
VCL
DEPDC1B
DAPK2
NSMAF
ADSS
TIMP2
RFC1
TBC1D23
CUL3
MYOM2
AC118549.1
TUBG2
RPL26L1
FLT4
NSUN2
FBXO42
MFAP3
MRI1
METTL1
HOXC8
AGA
PI4K2B
BOD1L1
MAT2B
EDC4
TRIO
VCAN
CLEC16A
CDH1
MTREX
ZFYVE16
RIPOR1
RAI14
PNKP
PHLPP2
SPDL1
STAU2
PQLC2
CTNS
RTN4R
PHF23
INPP4A
RAB27B
PSMA4
LSG1
PARP3
THAP3
TDP1
AIFM2
SPATA7
MED17
RETSAT
CAPG
AP2S1
DCUN1D1
JADE2
ZIC2
TRIT1
CUL7
CTNNA1
PHKA2
CNTLN
HSPA5
DSG2
GEMIN8
OFD1
WDR37
YTHDC2
CTPS2
ATP6V1H
POLR2B
FAM214A
TPR
CP
KIAA0556
DTNBP1
C12orf4
SCML1
WWC3
MAP4
GOPC
USP28
TSPAN17
NOP16
CC2D2A
RRM2B
ZNF800
SNX29
MRPS10
RSF1
VPS13D
FAM120A
R3HDM1
KITLG
ERCC8
H6PD
VAMP3
PER3
LTBP1
RCN1
RFC2
ARID1B
CLPTM1L
NEDD4L
PPP1R3F
HEXB
PTCD2
JKAMP
DKK3
ARHGEF5
NFE2L3
MCUR1
LIMA1
LETMD1
SLC4A8
LAMC3
MAPK9
BCAR1
FAM160A2
HERPUD1
HOMER3
RAD51
POLQ
PIK3CB
CYBA
THOC3
HEBP2
MPHOSPH9
PLEKHA5
SIKE1
RRP12
FNIP2
MSMO1
TTC17
ALX4
FOXN3
AKR7A2
MRTO4
USE1
LAMA3
AP5M1
ANAPC4
TRAPPC3
THRAP3
PHPT1
ARID4B
OPN3
SDCCAG8
HHAT
KIF1B
FOXC1
TBC1D22A
SYNE2
PLEKHH1
ATP9A
CHRDL2
FAM168A
RELT
GALC
NOP58
SZRD1
CUL1
FAM114A2
CYFIP2
TAB2
GINM1
EIF2AK2
USP36
KMT2C
MCOLN3
PUM2
MRPL43
HPF1
ZFR
ZNF280C
TRAF1
RC3H2
IL17RB
TRAF3IP2
GYG2
DCBLD2
SOAT1
PKP2
GDI2
PRDM1
ATG5
PITHD1
MTA3
USP13
ATP11B
LAMC2
SEC61A1
PPP1R12A
CROCC
POLR3E
ATP2B4
ZC3H11A
RIOK2
YIPF1
NDC1
DGKG
FLYWCH1
UNKL
TBXAS1
PARP12
ALDH18A1
TARBP1
GATB
MXD1
CDK17
DNAJC25
SLC2A3
CTDP1
YBX3
WNK1
CCAR1
OGFR
PIGV
PTPRU
SNRNP40
COL11A1
QSER1
MPC1
ACAA1
BCAT1
HDAC7
SPAG4
NCKAP1
MRPS35
SFSWAP
TNK2
MON2
GPBP1
DGAT2
ZNF112
CS
MRPS24
ELMO2
WAPL
VMP1
APPBP2
POLD1
EIF4B
SLC6A16
BICRA
SPHK2
RPL18
CA11
ISOC2
U2AF2
EPN1
MED29
AHRR
ZNF275
MTMR1
GPC1
ADCK1
HAGH
RNF4
CASP8
LIMCH1
INTS13
TM7SF3
SPA17
WISP2
CDON
TAF2
HIPK2
TNPO3
BORCS8-MEF2B
RFXANK
TMEM161A
LPAR2
CTSA
SUGP2
SLC12A2
SNX24
EYA2
CNN2
ABCA7
DDX20
BTBD1
SBNO2
PMS1
HMG20B
TAF11
ANKS1A
AP3D1
ZNF76
SLC9A3R2
NTHL1
UHRF1BP1
GNAI3
IPO5
OAT
WDR3
PKN2
WDR18
TRAM2
GLP2R
MCM10
DGKA
ERBB3
ANKRD44
KARS
ADAT1
PDIA5
TBC1D22B
NDUFB4
SPEN
MYLK
ZC3H15
MAP2K4
TMEM206
SLK
CYB5R4
COL17A1
GSTO2
SEC61A2
PRKCQ
TLE2
ASB1
FAM107B
ME1
TBC1D1
CDK13
MTHFD2
SLC9A7
FOXJ2
YBX1
PDE4A
PPP2R5A
ELAVL1
DIP2B
SMARCD1
KDM4A
NFYC
NGEF
ASPM
ELOVL1
ZNRD1
ZBTB11
ATXN3
GOLGA5
LRRC40
ISOC1
EML1
TRMT11
THUMPD1
MSANTD3
KIF26A
ATG2B
ARFGEF1
ZFAT
MTFR1
FECH
MYO9A
DDX3Y
PFKP
IDI1
SP100
KLF6
PLPP1
NEO1
TRAM1
PHKA1
TNFRSF1A
CACNB1
EVI5
STOML1
PKM
DHX29
DNTTIP2
METTL22
TP53BP1
RRP15
RHOA
DHX8
PMS2P4
PRKCZ
ZFY
IARS2
SYT1
NAV3
IDH3G
ROGDI
PDZD4
ROCK1
CBFB
PDK3
HYAL2
HDAC4
RASSF1
FGFR3
IFI35
HEATR6
COASY
PLEKHH3
MEF2A
OTUD5
TFE3
TBC1D25
ACSL4
INPP5A
GPKOW
GRIPAP1
FTSJ1
PRR11
ATP11A
POLR1A
LAPTM4A
TTC7A
IP6K2
SRBD1
KIF2A
PSME4
